지역,umdNm,aptNm,kaptCode,matchType,세대수,시공사,동수,사용승인일
경기 하남시,선동,미사강변 센트리버,A10027344,exact,1145.0,삼호건설,13,20160909
경기 하남시,망월동,미사강변스타힐스아파트,A10027180,exact,1389.0,서희건설,16,20161124
경기 하남시,망월동,미사강변루나리움,A10027782,exact,1164.0,에스티엑스건설(주) 外,11,20150930
경기 하남시,망월동,미사강변 골든 센트로,A10028139,exact,1541.0,대우건설,14,20141205
경기 하남시,덕풍동,더샵하남에디피스,A10022630,exact,,포스코이앤씨,10,20240328
경기 하남시,감이동,감일센트레빌,A10024941,exact,589.0,동부건설,6,20200312
경기 하남시,망월동,미사강변효성해링턴플레이스엔에이치에프,,no_match,,,,
경기 하남시,망월동,미사강변파밀리에,A10028200,exact,976.0,신동아건설,9,20140612
경기 하남시,풍산동,미사강변동일하이빌,A10026501,exact,655.0,"이화공영(주), (주)동일토건",6,20180206
경기 하남시,선동,미사강변리슈빌엔에이치에프,,no_match,,,,
경기 하남시,신장동,하남호반써밋에듀파크,A10024119,exact,999.0,호반건설,6,20210806
경기 용인시 기흥구,마북동,e편한세상구성역플랫폼시티,A10022648,exact,999.0,디엘이엔씨주식회사,12,20240412
경기 용인시 수지구,상현동,광교자이더클래스,A44851511,exact,1035.0,GS건설,10,20120727
경기 용인시 수지구,풍덕천동,신정7단지(상록)공무원,,no_match,,,,
경기 용인시 수지구,풍덕천동,신정마을주공1,A44898708,contains,1044.0,(주)한양,12,20000331
경기 용인시 수지구,풍덕천동,한성,A44876808,contains,774.0,(주)한성,10,19950328
경기 용인시 수지구,풍덕천동,용인수지신정마을9단지,A44899307,contains,812.0,삼익건설,9,20000504
경기 용인시 수지구,풍덕천동,현대성우8차,A44899209,contains,1239.0,현대성우,13,19991119
경기 용인시 수지구,풍덕천동,수지파크푸르지오,A10025555,exact,430.0,대우건설,5,20190328
경기 용인시 수지구,동천동,동천센트럴자이,A10025481,exact,1057.0,GS건설,8,20190530
서울 노원구,월계동,한진한화그랑빌,A13984004,contains,3003.0,"한진중공업,한화건설",25,20021018
서울 마포구,중동,울트라월드컵(참누리),A12187906,contains,499.0,울트라건설,9,20060504
서울 강서구,염창동,무학,A15786213,contains,273.0,무학건설,5,19990331
서울 강서구,등촌동,"등촌지와인아파트,비지니스센터",A10023075,contains,136.0,한동건설,4,20230630
서울 금천구,독산동,금천롯데캐슬골드파크3차,A10025946,exact,1236.0,롯데건설,6,20181030
서울 영등포구,신길동,삼성,A15005603,contains_ambiguous,384.0,삼성종합건설(주),2,19840414
서울 영등포구,양평동2가,양평벽산블루밍,A15010203,contains,417.0,한국건업,3,19901110
서울 동작구,사당동,경남아너스빌1차,A15609303,dedong,340.0,대아건설,3,19970228
서울 관악구,봉천동,봉천동아,A15192202,contains,836.0,동아건설,4,20000509
서울 강남구,논현동,쌍용,A13501007,contains,111.0,남광토건,1,19960724
경기 성남시 중원구,중앙동,롯데캐슬,A46283502,contains,545.0,롯데건설,9,20120720
경기 하남시,풍산동,미사강변브라운스톤엔에이치에프,A10025947,contains,871.0,이수건설,8,20181106
서울 종로구,창신동,두산,A11054101,contains,529.0,두산건설(주),3,19990430
서울 종로구,숭인동,종로청계힐스테이트,A11055002,exact,288.0,현대건설,6,20090320
서울 중구,황학동,롯데캐슬,A10044002,contains_ambiguous,1534.0,롯데건설,5,20081222
서울 중구,신당동,신당동파라다이스,A10078102,contains,132.0,파라다이스건설,1,20000710
서울 용산구,효창동,아인하우스,,no_match,,,,
서울 성동구,송정동,건영,A13383702,contains,447.0,건영,3,20000510
서울 광진구,자양동,자양우성7,A14319311,contains,625.0,(주)우성건설,5,19980706
서울 광진구,구의동,구의자이르네,,no_match,,,,
서울 광진구,군자동,일성파크,A14383901,contains,357.0,일성건설,2,19960309
서울 광진구,자양동,구의현대하이엘,A14319003,dedong,182.0,고려산업개발,2,19930527
서울 동대문구,답십리동,답십리청솔우성,A13003202,exact,1110.0,우성건설,14,20000318
서울 동대문구,전농동,전농동삼성래미안,A13085301,dedong,463.0,(주)삼성물산,7,20000513
서울 동대문구,이문동,쌍용,A13082704,contains_ambiguous,1318.0,쌍용,15,20001129
서울 동대문구,이문동,대림e-편한세상,A13082805,dedong,1378.0,대림산업(주),19,20030709
서울 동대문구,용두동,용두롯데캐슬리치,A10028080,exact,311.0,롯데건설(주),5,20150313
서울 동대문구,휘경동,브라운스톤휘경,A13009003,exact,451.0,이수건설,8,20131025
서울 동대문구,답십리동,동아,A13003406,contains_ambiguous,741.0,동아건설,7,20011123
서울 동대문구,답십리동,한신휴플러스그린파크,A10022046,exact,141.0,한신공영,3,20100930
서울 동대문구,답십리동,두산,A13003201,contains_ambiguous,739.0,두산건설주식회사,9,20000802
서울 동대문구,장안동,동대문더퍼스트데시앙,A10025227,exact,469.0,태영건설,8,20191022
서울 동대문구,용두동,롯데캐슬피렌체,A13007002,contains,435.0,롯데건설,4,20090205
서울 동대문구,답십리동,래미안엘파인아파트,A13075402,exact,472.0,삼성물산,9,20110623
서울 동대문구,이문동,중앙하이츠빌,A13082502,contains,302.0,중앙건설,6,20020523
서울 동대문구,휘경동,휘경리오포레아파트(2단지),,no_match,,,,
서울 동대문구,청량리동,한신,A13086704,contains_ambiguous,960.0,한신공영,9,19971216
서울 동대문구,청량리동,홍릉동부,A13086802,contains_ambiguous,371.0,동부건설,4,20010924
서울 동대문구,용두동,신동아,A13007004,contains,772.0,신동아건설,5,19941014
서울 동대문구,회기동,신현대,A13087201,contains,736.0,현대건설,8,19890526
서울 동대문구,제기동,안암골벽산,A13086101,contains,640.0,벽산건설,7,20030613
서울 동대문구,이문동,현대,A13082703,contains_ambiguous,601.0,이문1구역재개발조합,4,20000503
서울 중랑구,묵동,이편한세상화랑대,,no_match,,,,
서울 중랑구,면목동,쌍용더플래티넘용마산,A10024443,exact,245.0,쌍용건설,5,20201214
서울 중랑구,상봉동,프레미어스엠코,A13122002,contains,497.0,현대엠코(주),3,20131118
서울 중랑구,면목동,용마산하늘채,A10028033,exact,265.0,코오롱글로벌,5,20151008
서울 중랑구,면목동,한양수자인사가정파크,A10025159,exact,497.0,(주)한양,8,20191127
서울 중랑구,중화동,한신아파트상가동유치원동(103~109),A13187702,dedong,1544.0,한신공영,9,19971011
서울 강북구,미아동,꿈의숲해링턴플레이스,A10025241,exact,1028.0,진흥기업(주),17,20190927
서울 강북구,미아동,래미안트리베라1단지,,no_match,,,,
서울 강북구,미아동,송천센트레빌,A14272313,exact,376.0,동부건설(주),5,20100910
서울 강북구,미아동,삼성래미안트리베라2단지,,no_match,,,,
서울 강북구,미아동,꿈의숲롯데캐슬,A10026947,exact,615.0,롯데건설(주),11,20170227
서울 강북구,미아동,미아동부센트레빌,A14280502,exact,480.0,동부건설,8,20060425
서울 강북구,미아동,한화포레나미아,A10020346,exact,,한화건설,4,20251127
서울 강북구,미아동,두산위브트레지움,A14272314,contains,1370.0,두산건설,24,20111031
서울 도봉구,창동,주공19단지(창동리버타운),A13290107,dedong,1764.0,한신공영,12,19881125
서울 도봉구,창동,동아청솔,A13204409,contains,1981.0,동아건설산업(주),18,19970324
서울 노원구,상계동,노원롯데캐슬시그니처,A10023024,contains_ambiguous,553.0,롯데건설(주),4,20230629
서울 노원구,상계동,포레나노원,A10024547,exact,1062.0,주식회사 한화건설,13,20201125
서울 노원구,월계동,월계센트럴아이파크,A10025097,exact,859.0,현대산업개발,7,20200130
서울 노원구,공릉동,태릉해링턴플레이스,A10023991,exact,1308.0,효성중공업,15,20220118
서울 노원구,상계동,노원센트럴푸르지오,A10025133,exact,810.0,상계4구역주택재개발정비사업조합,7,20210222
서울 노원구,월계동,풍림아이원,A13905003,contains,484.0,풍림건설(주),8,20051216
서울 노원구,월계동,꿈의숲SKVIEW,,no_match,,,,
서울 노원구,월계동,삼호4,A13984003,contains,910.0,(주)삼호,7,19870706
서울 노원구,중계동,주공5,A13922114,contains,2328.0,대한주택공사,18,19920429
서울 노원구,월계동,현대,A13905105,contains_ambiguous,1281.0,현대산업개발,11,20001125
서울 은평구,불광동,북한산힐스테이트7차,A12275202,exact,882.0,현대건설,15,20110729
서울 은평구,응암동,백련산힐스테이트4차,,no_match,,,,
서울 은평구,응암동,백련산에스케이뷰아이파크,A10025310,exact,1305.0,"sk view, 현대산업개발",11,20200521
서울 은평구,불광동,불광롯데캐슬,A12204006,exact,488.0,롯데건설(주),8,20130926
서울 은평구,진관동,박석고개1단지힐스테이트(101~111동)BL2-12,,no_match,,,,
서울 은평구,진관동,박석고개1단지힐스테이트(116~131동)BL2-1,,no_match,,,,
서울 은평구,응암동,백련산파크자이,A10025683,exact,678.0,GS건설,9,20210412
서울 은평구,불광동,북한산현대홈타운,A12204102,exact,662.0,현대건설(주),15,20040529
서울 은평구,역촌동,센트레빌아스테리움시그니처,A10021056,exact,752.0,동부건설,8,20241125
서울 은평구,수색동,청구,A12209001,contains,196.0,청구,3,20000316
서울 은평구,불광동,북한산래미안아파트(2단지),A12275201,contains,647.0,삼성물산,9,20100830
서울 은평구,증산동,DMC우방,A12294102,exact,429.0,(주)우방,3,20000320
서울 은평구,불광동,북한산래미안아파트(1단지),A12275201,contains,647.0,삼성물산,9,20100830
서울 은평구,불광동,북한산힐스테이트1차아파트,A12204003,exact,603.0,현대건설,11,20090716
서울 은평구,불광동,북한산현대힐스테이트3차아파트,,no_match,,,,
서울 은평구,응암동,백련산해모로,A10024947,exact,760.0,한진중공업(주),9,20200618
서울 은평구,응암동,e편한세상백련산,A10023994,exact,358.0,DL건설,8,20220714
서울 은평구,응암동,백련산힐스테이트1차,A12201003,exact,1028.0,현대건설,15,20111222
서울 서대문구,연희동,연희파크푸르지오,A10025822,exact,396.0,(주)대우건설,5,20181221
서울 서대문구,남가좌동,DMC래미안클라시스,A12012201,exact,358.0,(주)삼성물산,2,20001215
서울 서대문구,북아현동,경남102동,,no_match,,,,
서울 서대문구,홍은동,힐스테이트홍은포레스트,A10023482,exact,623.0,현대건설(주),8,20231229
서울 서대문구,연희동,대우푸르지오,A12011002,dedong,562.0,대우건설(주),7,20020730
서울 서대문구,홍제동,홍제삼성래미안,A12009202,exact,474.0,삼성래미안,6,20010613
서울 서대문구,홍제동,홍제한양,A12085303,exact,998.0,햔양건설,10,19930504
서울 서대문구,남가좌동,남가좌동현대,A12012203,exact,1155.0,현대산업개발(주),10,19990527
서울 서대문구,홍제동,금호어울림,A10027681,contains,296.0,금호건설,10,20160203
서울 서대문구,냉천동,동부센트레빌,A12005001,contains,237.0,동부건설,3,20020321
서울 서대문구,홍제동,청구2차,,no_match,,,,
서울 서대문구,홍제동,청구3차,A12078706,contains,228.0,청구건설,2,20010530
서울 마포구,상암동,상암월드컵파크12단지,A12179505,exact,380.0,한신공영,9,20101014
서울 마포구,상암동,DMC상암센트럴파크2단지,A12179501,exact,184.0,양우건설사,3,20090622
서울 마포구,망원동,대림2,,no_match,,,,
서울 마포구,망원동,휴먼빌,A12123001,contains,210.0,일신건영(주),2,20040730
서울 마포구,성산동,성산2차e-편한세상,A12125001,exact,189.0,대림산업,3,20050726
서울 마포구,중동,마포중동현대,A12187905,exact,477.0,현대건설,6,20010727
서울 마포구,망원동,대림1,,no_match,,,,
서울 마포구,연남동,대명,A10024587,contains,128.0,대명건설,1,19951115
서울 마포구,창전동,신촌금호,A12188201,exact,239.0,금호건설,3,20010330
서울 마포구,성산동,성산월드타운대림,A12125202,exact,795.0,대림산업,10,20040824
서울 마포구,중동,현대,A12187703,contains_ambiguous,282.0,현대,3,20001216
서울 마포구,상암동,상암월드컵파크10단지,A12179508,exact,861.0,중앙건설,16,20100720
서울 마포구,마포동,보성,A10025672,contains,133.0,(주) 보성,2,19961128
서울 양천구,목동,목동성원,A15805105,exact_ambiguous,200.0,성원건설,2,19970125
서울 양천구,신정동,신트리1,A15807002,contains,997.0,진흥기업,9,19990521
서울 양천구,신월동,신목동파라곤,A10023219,exact,299.0,동양건설,5,20230227
서울 양천구,목동,금강에스쁘아,A15881701,contains,153.0,(주)금강종합건설,1,20020813
서울 양천구,신정동,신정현대5,A15807204,contains,217.0,현대산업개발,1,19950731
서울 양천구,목동,극동늘푸른,A15881601,contains,206.0,극동건설(주),2,19981030
서울 양천구,신정동,세양청마루,A15807701,contains,326.0,세양건설,7,20060712
서울 양천구,신정동,신트리4,A15807316,contains,845.0,자유건설(주),8,20000523
서울 양천구,신월동,신정두산위브,,no_match,,,,
서울 강서구,염창동,극동상록수,A15786312,contains,256.0,극동건설,2,19991027
서울 강서구,염창동,관음삼성,A15786321,contains,350.0,(주)삼성건설,3,19970801
서울 강서구,등촌동,가양역두산위브,A10023543,exact,220.0,두산,4,20220311
서울 강서구,가양동,일신건영휴먼빌,A15720101,contains,177.0,일신건영,3,20041223
서울 강서구,등촌동,서광등촌마을아파트,A15784008,dedong,430.0,서광건설,6,19990401
서울 강서구,염창동,신동아,A15786420,contains,348.0,신동아건설,3,19951213
서울 강서구,등촌동,등촌라인(조합),A15783806,contains,317.0,라인건설,3,19971029
서울 강서구,염창동,한강동아,A15786510,contains,212.0,동아건설산업(주),3,19980721
서울 강서구,염창동,강서쌍용예가,A10027541,exact,152.0,(주)쌍용건설,4,20140611
서울 강서구,염창동,금호타운,A15786116,dedong,290.0,금호건설,4,19990402
서울 강서구,등촌동,한사랑2삼성,A15703302,dedong,457.0,동성개발,6,19951127
서울 강서구,염창동,극동,A15786111,contains_ambiguous,249.0,극동건설,2,20000527
