지역,umdNm,aptNm,buildYear,addr_display,lat,lon,match_query
서울 강서구,등촌동,주공5,1995,공항대로39길,37.552056,126.8615649,대한민국 서울 강서구 등촌동
서울 강서구,마곡동,마곡13단지힐스테이트마스터,2017,마곡중앙1로,37.5700377,126.8301736,대한민국 서울 강서구 마곡동
서울 강서구,마곡동,마곡엠밸리8단지,2016,마곡서1로,37.56903,126.8184159,대한민국 서울 강서구 마곡동 마곡서1로
서울 강서구,마곡동,마곡엠밸리9단지,2021,공항대로,37.5700377,126.8301736,대한민국 서울 강서구 마곡동
서울 강서구,마곡동,마곡엠벨리(15단지),2014,마곡중앙로,37.5632753,126.8258655,대한민국 서울 강서구 마곡동 마곡중앙로
서울 강서구,마곡동,마곡푸르지오,2008,방화대로34길,37.5699731,126.8189732,대한민국 서울 강서구 마곡동 방화대로34길
서울 강서구,마곡동,마곡힐스테이트,2017,마곡중앙3로,37.5627766,126.8187392,대한민국 서울 강서구 마곡동 마곡중앙3로
서울 강서구,마곡동,한솔솔파크,2005,양천로30길,37.5684941,126.8222291,대한민국 서울 강서구 마곡동 양천로30길
서울 강서구,염창동,e편한세상염창,2019,공항대로,37.5471114,126.8754487,대한민국 서울 강서구 염창동 공항대로
서울 강서구,염창동,동아,1998,양천로69길,37.5536507,126.8711418,대한민국 서울 강서구 염창동 양천로69길
서울 강서구,염창동,동아3,1999,양천로,37.5477666,126.8796781,대한민국 서울 강서구 염창동 양천로
서울 강서구,염창동,삼정그린코아,2001,공항대로75길,37.5482688,126.8748084,대한민국 서울 강서구 염창동 공항대로75길
서울 강서구,염창동,성원,2001,양천로69길,37.5536507,126.8711418,대한민국 서울 강서구 염창동 양천로69길
서울 강서구,염창동,염창1차한화꿈에그린,2005,공항대로75길,37.5482688,126.8748084,대한민국 서울 강서구 염창동 공항대로75길
서울 강서구,염창동,태진한솔,1994,공항대로71길,37.548253,126.8723099,대한민국 서울 강서구 염창동 공항대로71길
서울 강서구,화곡동,강서힐스테이트,2015,우현로,37.542134,126.8441752,대한민국 서울 강서구 화곡동
서울 강서구,화곡동,우장산숲아이파크,2022,화곡로31다길,37.542134,126.8441752,대한민국 서울 강서구 화곡동
서울 강서구,화곡동,"우장산아이파크,이편한세상",2008,강서로,37.5397125,126.8418447,대한민국 서울 강서구 화곡동 강서로
서울 관악구,봉천동,e편한세상서울대입구1단지,2019,청룡10길,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,e편한세상서울대입구2단지,2019,청룡16길,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,e편한세상서울대입구2차,2020,참숯1길,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,관악동부센트레빌,2004,은천로33길,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,관악드림(동아),2003,성현로,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,관악드림(삼성),2003,성현로,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,관악푸르지오,2004,관악로30길,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,봉천동,두산,2000,봉천로,37.4823207,126.9495664,대한민국 서울 관악구 봉천동 봉천로
서울 관악구,봉천동,벽산블루밍,2005,은천로,37.4868567,126.9477403,대한민국 서울 관악구 봉천동 은천로
서울 관악구,봉천동,봉천우성,2000,관악로30길,37.4750064,126.9571404,대한민국 서울 관악구 봉천동
서울 관악구,신림동,힐스테이트뉴포레,2022,조원로,37.486897,126.928177,대한민국 서울 관악구 신림동
서울 광진구,광장동,삼성광장2,1989,아차산로,37.5548057,127.1122994,대한민국 서울 광진구 광장동 아차산로
서울 광진구,광장동,청구,1996,아차산로,37.5548057,127.1122994,대한민국 서울 광진구 광장동 아차산로
서울 광진구,광장동,현대3,1990,아차산로70길,37.5411466,127.1029198,대한민국 서울 광진구 광장동 아차산로70길
서울 광진구,광장동,현대5,1989,아차산로70길,37.5411466,127.1029198,대한민국 서울 광진구 광장동 아차산로70길
서울 광진구,구의동,구의현대7단지현대홈타운,1997,구의강변로3가길,37.5444896,127.0874678,대한민국 서울 광진구 구의동
서울 광진구,구의동,성동강변파크빌101(강변타워),2001,구의강변로5길,37.5444896,127.0874678,대한민국 서울 광진구 구의동
서울 광진구,구의동,현대프라임,1997,광나루로56길,37.5444896,127.0874678,대한민국 서울 광진구 구의동
서울 광진구,자양동,경남,1999,뚝섬로52길,37.5316905,127.0749477,대한민국 서울 광진구 자양동
서울 광진구,자양동,대동,1999,뚝섬로31길,37.5316905,127.0749477,대한민국 서울 광진구 자양동
서울 광진구,자양동,로얄동아,1999,뚝섬로52마길,37.5316905,127.0749477,대한민국 서울 광진구 자양동
서울 광진구,자양동,우방리버파크,2003,능동로4길,37.5323695,127.0697215,대한민국 서울 광진구 자양동 능동로4길
서울 광진구,자양동,우성1,1988,뚝섬로,37.5342297,127.0721232,대한민국 서울 광진구 자양동 뚝섬로
서울 광진구,자양동,자양삼성,1999,뚝섬로40길,37.5323165,127.0723784,대한민국 서울 광진구 자양동 뚝섬로40길
서울 광진구,자양동,자양현대5,1998,뚝섬로54길,37.5316905,127.0749477,대한민국 서울 광진구 자양동
서울 광진구,자양동,자양현대6,1999,자양번영로3길,37.5321635,127.0730654,대한민국 서울 광진구 자양동 자양번영로3길
서울 광진구,자양동,한라아파트,1996,뚝섬로33길,37.5361174,127.0698389,대한민국 서울 광진구 자양동 뚝섬로33길
서울 광진구,자양동,현대3,1996,뚝섬로58길,37.5316905,127.0749477,대한민국 서울 광진구 자양동
서울 광진구,화양동,화양현대,1999,동일로24길,37.543092,127.0683275,대한민국 서울 광진구 화양동 동일로24길
서울 구로구,구로동,신도림롯데아파트,1999,새말로,37.5001186,126.8803529,대한민국 서울 구로구 구로동 새말로
서울 구로구,구로동,신도림태영타운,2000,새말로,37.5001186,126.8803529,대한민국 서울 구로구 구로동 새말로
서울 구로구,신도림동,대림1,1999,신도림로,37.5088351,126.8815707,대한민국 서울 구로구 신도림동 신도림로
